(1, 27.939999999999998, 2.2210989892482758)
(1, 35.0, 2.1996298313140867)
(2, 20.75, 2.3181257009506226)
(2, 23.0, 2.2519692754745484)
(3, 18.98, 2.306654852628708)
(3, 21.0, 2.3931598091125488)
(4, 34.29, 1.9480102151632308)
(4, 36.0, 1.899940710067749)
(1, 35.0, 2.1996298313140867)
(2, 23.0, 2.2519692754745484)
(3, 21.0, 2.3931598091125488)
(4, 36.0, 1.899940710067749)
(5, 47.0, 1.6232652378082275)
(6, 34.0, 1.8389154148101807)
(7, 40.0, 1.431323571205139)
(8, 53.0, 1.1378589618206023)
(9, 56.99999999999999, 1.2606300830841064)
(10, 51.0, 3.779989601969719)
(11, 61.0, 1.2541408109664918)
(12, 72.0, 0.5686126368865371)
(13, 82.0, 0.405614385008812)
(14, 80.0, 0.39946983743458986)
(15, 82.0, 0.39901596440002324)
(16, 74.0, 0.6153422433324158)
(17, 88.0, 0.1978451210865751)
(18, 90.0, 0.1359315514471382)
(19, 98.0, 0.09938857079483569)
(20, 100.0, 0.03233396682422608)
(21, 100.0, 0.04301325161708519)
(22, 100.0, 0.011337620234116911)
(23, 100.0, 0.00429599873139523)
(24, 100.0, 0.0027118093136232345)
(25, 100.0, 0.0020801997755188497)
(1001, 100.0, 5.872206088497478e-06)
(2001, 100.0, 2.6786237668829926e-06)
(3001, 100.0, 1.6939603824539517e-06)
(4001, 100.0, 1.2218933363783434e-06)
(5001, 100.0, 9.465206493786127e-07)
(6001, 100.0, 7.700912703967333e-07)
(7001, 100.0, 6.461138451641091e-07)
(8001, 100.0, 5.567070087408865e-07)
(9001, 100.0, 4.839894308616977e-07)
(10001, 100.0, 4.303453071941021e-07)
(11001, 100.0, 3.933904775266228e-07)
(12001, 100.0, 3.3617005414043887e-07)
(13001, 100.0, 3.1590449438567704e-07)
(14001, 100.0, 2.8610219310110097e-07)
(15001, 100.0, 2.7060500087827674e-07)
(16001, 100.0, 2.491473392751686e-07)
(17001, 100.0, 2.384185091841573e-07)
(18001, 100.0, 2.1815294253713092e-07)
(19001, 100.0, 2.0265574086408832e-07)
(20001, 100.0, 1.9192691489422486e-07)
(21001, 100.0, 1.8358226341774753e-07)
(22001, 100.0, 1.776218022797593e-07)
(23001, 100.0, 1.7166134028911983e-07)
(24000, 100.0, 1.5854832462025569e-07)
(1, 23.0, 2.159710922241211)
(2, 20.0, 2.06657895565033)
(3, 39.0, 1.6954170227050782)
(4, 41.0, 1.425475527048111)
(5, 65.0, 1.4181344676017762)
(6, 49.0, 1.4063482201099395)
(7, 65.0, 1.0975894528627395)
(8, 61.0, 0.8306999352574348)
(9, 66.0, 0.7842524155974389)
(10, 69.0, 0.9177586781675927)
(11, 60.0, 0.9235155056603253)
(12, 50.0, 1.2374605488777162)
(13, 67.0, 0.9943992772698402)
(14, 68.0, 1.2273097747564317)
(15, 88.0, 0.3189538627676666)
(16, 74.0, 0.8448325415328145)
(17, 83.0, 0.43660372889833526)
(18, 87.0, 0.33963145211338996)
(19, 94.0, 0.15727449870668353)
(20, 88.0, 0.6310810308903456)
(21, 95.0, 0.24675693288445472)
(22, 100.0, 0.03671103609725833)
(23, 100.0, 0.004770601867930963)
(24, 100.0, 0.002848893877817318)
(25, 100.0, 0.0020838326192460952)
(1001, 100.0, 4.8637122552008804e-06)
(2001, 100.0, 2.229208085964274e-06)
(3001, 100.0, 1.4042832151517358e-06)
(4001, 100.0, 1.0156619847379034e-06)
(5001, 100.0, 7.987015140997756e-07)
(6001, 100.0, 6.496901511354736e-07)
(7001, 100.0, 5.42401924974456e-07)
(8001, 100.0, 4.7326061732633205e-07)
(9001, 100.0, 4.065034928402156e-07)
(10001, 100.0, 3.683565526557686e-07)
(11001, 100.0, 3.230570555246004e-07)
(12001, 100.0, 2.908705741333506e-07)
(13001, 100.0, 2.694129128855138e-07)
(14001, 100.0, 2.455710696125379e-07)
(15001, 100.0, 2.2768968847231007e-07)
(16001, 100.0, 2.1338457962372103e-07)
(17001, 100.0, 1.9788738207182632e-07)
(18001, 100.0, 1.8715854636752737e-07)
(19001, 100.0, 1.7404552934863205e-07)
(20001, 100.0, 1.66892972970345e-07)
(21001, 100.0, 1.5974041929212034e-07)
(22001, 100.0, 1.561641414582482e-07)
(23001, 100.0, 1.5020367996498862e-07)
(24000, 100.0, 1.4066693978520562e-07)
(1, 27.0, 2.1063119268417356)
(2, 37.0, 2.06957302570343)
(3, 23.0, 2.063088574409485)
(4, 41.0, 1.9094002676010131)
(5, 42.0, 1.734913113117218)
(6, 46.0, 1.6234840381145477)
(7, 56.99999999999999, 1.2666339828073978)
(8, 50.0, 1.1101016652584077)
(9, 59.0, 1.166704832315445)
(10, 49.0, 1.423388696834445)
(11, 76.0, 0.698442656993866)
(12, 75.0, 0.6494137370586395)
(13, 49.0, 1.8330879068374635)
(14, 72.0, 0.8689589755237103)
(15, 71.0, 0.759721420109272)
(16, 95.0, 0.16695747503079475)
(17, 81.0, 0.8536070919968188)
(18, 89.0, 0.4141640241257846)
(19, 97.0, 0.09338205519132316)
(20, 94.0, 0.21437594518065453)
(21, 99.0, 0.034971422881353645)
